"table_name","column_name","data_type","is_nullable","column_default"
"category","id","bigint","NO","null"
"category","name","text","YES","null"
"occasion","id","bigint","NO","null"
"occasion","name","text","YES","null"
"posts","post_id","uuid","NO","uuid_generate_v4()"
"posts","title","text","YES","null"
"posts","content","text","YES","null"
"posts","image_url","text","YES","null"
"posts","user_id","uuid","NO","null"
"posts","created_at","timestamp without time zone","YES","now()"
"posts","updated_at","timestamp without time zone","YES","now()"
"posts","category","bigint","NO","'1'::bigint"
"posts","occasion","bigint","YES","null"
"profiles","id","uuid","NO","null"
"profiles","updated_at","timestamp with time zone","YES","null"
"profiles","username","text","YES","null"
"profiles","full_name","text","YES","null"
"profiles","avatar_url","text","YES","null"
"profiles","website","text","YES","null"
"reviews","id","uuid","NO","uuid_generate_v4()"
"reviews","post_id","uuid","YES","null"
"reviews","user_id","uuid","YES","null"
"reviews","review","text","YES","null"
"reviews","created_at","timestamp without time zone","YES","now()"
"reviews","parent_id","uuid","YES","null"
"reviews","rating","real","YES","null"